,id_prodotto,descrizione,cat1,cat2,cat3,iva,pzxcar,um,costo,prezzo_vendita,brand
0,COD_8E57DA9133,torta cacao 448,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,PREPARATI PER TORTE,10,8.0,PZ,2.51,3.59,B019
1,COD_45543E2702,sacco 110lt cm.,CURA CASA,USA E GETTA - AVVOL E SACCHETTI,SACCHETTI SPAZZATURA,22,25.0,PZ,1.13,2.29,B094
2,COD_A2CC03611D,tea 25fl yellow,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE TEA/CAMOMILLA,TEA,10,12.0,PZ,1.84,2.49,B073
3,COD_EED5868A81,zucchero velo 1,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,24.0,PZ,1.24,1.59,B018
6,COD_499DF391F7,tonno olio oliv,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO SOTT'OLIO,10,24.0,PZ,5.49,7.09,B045
7,COD_46B1D6EB53,caffe' 250gx2 g,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,5.72,8.79,B076
17,COD_5FB3D95670,dado x10 sapori,SCATOLAME SALATO,INSAPORITORI,PREPARATI PER BRODO E GELATINE,10,24.0,PZ,1.46,1.99,B052
22,COD_365DB0463F,pelati 400g,SCATOLAME SALATO,DERIVATI DEL POMODORO,PELATI E POMODORINI,04,24.0,PZ,0.12,0.39,B049
23,COD_D8992CD504,soyadrink 1lt g,FRESCHI,LATTICINI UHT ED ASSIMILABILI,SOST. LATTE UHT,22,10.0,PZ,1.09,1.89,B043
24,COD_51CAC60D56,olio soya lt1,SCATOLAME SALATO,"OLIO,ACETO,SUCCO LIMONE: SEMI, ACETO,LIM",OLIO DI SEMI,04,12.0,PZ,2.44,3.39,B043
25,COD_73558421B3,biscotti 320g,SCATOLAME DOLCE,CIBO INFANZIA,BISCOTTI INFANZIA,10,6.0,PZ,3.69,4.39,B155
30,COD_349DC488E7,tonno olio oliv,SCATOLAME SALATO,CONSERVE ANIMALI,TONNO SOTT'OLIO,10,14.0,PZ,7.82,10.79,B045
35,COD_9106CB5782,lievito 10 bust,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,14.0,PZ,2.47,3.69,B018
38,COD_B937C8FE4A,caffe' 250g mac,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,20.0,PZ,3.12,4.89,B078
39,COD_9EEE32141F,caffe' 250gx2 m,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE: CAFFE',CAFFE' MACINATO,22,10.0,PZ,7.26,10.19,B078
40,COD_5C2B93C045,fecola di patat,SCATOLAME SALATO,INGREDIENTI  BASE - FARINE,FARINE/ MISCELE,10,12.0,PZ,0.35,0.79,B018
41,COD_4DBCF3AD2B,ciobar 125g,SCATOLAME DOLCE,PREPARATI PER BEV. CALDE CACAO/LATT/ORZO,MODIFICATORI DEL LATTE CON CACAO,10,14.0,PZ,1.1,1.85,B019
43,COD_6DB950C7A1,passata 700g ve,SCATOLAME SALATO,DERIVATI DEL POMODORO,PASSATA DI POMODORO,04,12.0,PZ,0.47,0.89,B049
49,COD_FA7D8F24E4,"bibita lt.1,5",BEVANDE,BEVANDE GASSATE,ALTRE BEVANDE GASSATE,22,6.0,PZ,0.62,1.19,B059
52,COD_44D489C19D,spaghettoni 8 5,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,24.0,PZ,0.08,0.25,B001
53,COD_9A8D0597B5,ditalini rigati,SCATOLAME SALATO,PASTA,PASTA DI SEMOLA,04,16.0,PZ,0.18,0.35,B001
62,COD_4FCF035DEE,bibita cola reg,BEVANDE,BEVANDE GASSATE,COLA,22,6.0,PZ,1.35,1.79,B057
63,COD_2E9C295E87,sugo 400g pomod,SCATOLAME SALATO,SUGHI SALSE E CONDIMENTI,SUGHI PRONTI E BASE,10,6.0,PZ,1.89,2.69,B001
65,COD_870CA9D3EF,wurstel suino 1,FRESCHI,PRECOTTI,WURSTEL,10,15.0,PZ,0.9,1.29,B144
78,COD_C6B40379B3,lenticchie 410g,SCATOLAME SALATO,VEGETALI CONSERVATI,ALTRI LEGUMI VEGETALI E CEREALI CONSERVATI,10,12.0,PZ,0.5,0.99,B049
79,COD_2A640E1514,lievito 48gx3,SCATOLAME DOLCE,INGREDIENTI BASE-DOLCE,INGREDIENTI PER PASTICCERIA,10,50.0,PZ,1.27,1.69,B018
80,COD_924A57CB64,fantasie 25gx6 ,FRESCHI,FORMAGGI BLS,FRESCHI INDUSTRIALI,04,10.0,PZ,3.18,4.19,B151
